Zone,Borough,latitude,longitude,heat_property_val
Springfield Gardens North,Queens,-73.97470546536898,40.63701138395315,3
Saint Albans,Queens,-73.76372247342846,40.693792505466966,7
Saint Michaels Cemetery/Woodside,Queens,-73.89903124469245,40.764289361804,1
Ocean Hill,Brooklyn,-73.91238393940927,40.67685028610904,5
Crown Heights South/Lincoln Terrace Park,Brooklyn,-73.93609667783608,40.66679218182402,8
East Flushing/Kissena Park,Queens,-73.80687583976868,40.74930543719483,1
East Flatbush/Farragut,Brooklyn,-73.94378581605895,40.6440777963835,8
Bedford Park,Bronx,-73.89146279024025,40.87314590717404,6
Starrett City/Shirley Chisholm State Park,Brooklyn,-73.88073201609768,40.643446740247,4
Brighton Beach,Brooklyn,-73.96054113765933,40.5786910081146,8
Two Bridges/Seward Park,Manhattan,-73.99332959240294,40.712812145744266,15
Co-Op City,Bronx,-73.82494421175132,40.87218861366009,19
Jamaica,Queens,-73.79197154018492,40.70490422186499,32
East New York/New Lots/City Line,Brooklyn,-73.87768598391077,40.66416512526354,20
Cypress Hills,Brooklyn,-73.88480571559766,40.68187911833201,7
East Flatbush-Rugby/Remsen Village/Holy Cross Cemetery,Brooklyn,-73.92987792370575,40.65176061226965,8
Claremont/Bathgate,Bronx,-73.9078523614524,40.83966263447033,11
Midtown East,Manhattan,-73.99025470368338,40.7442278375399,153
Van Cortlandt Village,Bronx,-73.89709297985544,40.8790405950084,7
Astoria/(North)-Ditmars-Steinway,Queens,-73.9131836315311,40.771440358975056,29
Morrisania/Concourse Village/Yankee Stadium/Macombs Dam Park,Bronx,-73.91595991605357,40.8286076014429,14
Central Park,Manhattan,-73.96549919797933,40.78253515317078,100
Rosedale,Queens,-73.73890685592752,40.65344042301179,4
Woodhaven,Queens,-73.85666721674734,40.69205328268736,1
Highbridge,Bronx,-73.92754799311325,40.836912731559316,11
East Tremont,Bronx,-73.89218488012555,40.846955288910216,9
Steinway,Queens,-73.90344942046345,40.77837151633432,8
World Trade Center/Midtown South,Manhattan,-73.99025470368338,40.7442278375399,18
Marine Park/Mill Basin/Plumb Island,Brooklyn,-73.92052970508405,40.58377200404262,7
Greenwich Village South,Manhattan,-73.99614197126137,40.73058933043414,27
Old Astoria,Queens,-73.93131025253841,40.77209846203066,10
Mount Hope,Bronx,-73.90467078992305,40.849875407653975,8
Melrose,Bronx,-73.91400692753346,40.81826194272558,28
Bensonhurst West,Brooklyn,-73.99290805934723,40.612403358960705,4
Financial District South,Manhattan,-74.0016447004499,40.69489080698312,16
JFK Airport,Queens,-73.74699532670846,40.63755689077682,60
Belmont,Bronx,-73.88792810553595,40.85783121261824,4
Downtown Brooklyn/MetroTech,Brooklyn,-73.98610052266547,40.69469776397623,47
Greenwich Village North,Manhattan,-73.99614197126137,40.73058933043414,53
Long Island City/Queens Plaza,Queens,-73.94938642148819,40.74482011060784,18
Long Island City/Hunters Point,Queens,-73.94938642148819,40.74482011060784,9
Inwood,Manhattan,-73.92193606137886,40.856207607705635,13
Red Hook,Brooklyn,-74.00583529237828,40.676194328995926,4
Financial District North,Manhattan,-74.0016447004499,40.69489080698312,23
Pelham Parkway/Hutchison Metro Center,Bronx,-73.85047842611183,40.849267442234336,13
Far Rockaway,Queens,-73.75710710546609,40.60179760286557,3
West Concourse,Bronx,-73.92084206237486,40.82720633721194,18
Battery Park City,Manhattan,-74.07236686634324,40.61273858845821,19
Spuyten Duyvil/Kingsbridge,Bronx,-73.90780201147683,40.88766385713204,8
Fort Greene,Brooklyn,-73.97363879405397,40.69232668515191,55
Madison,Brooklyn,-73.94627987678166,40.604918212053974,2
Murray Hill-Queens,Queens,-73.97557701086284,40.74313358341563,7
Brooklyn Heights,Brooklyn,-73.9949420738628,40.694908632295586,9
Sunset Park West (Central),Brooklyn,-74.01051464599202,40.64835143930654,10
Hudson Sqare,Manhattan,-74.00403580980367,40.72432088318132,31
Cobble Hill,Brooklyn,-74.00583529237828,40.676194328995926,16
Maspeth/Mount Olivet/All Faiths Cemeteries,Queens,-73.90014954706288,40.720118511898654,3
